Player,Color,Opponent,PlayerElo,OpponentElo,Result,Date,UTCTime,Opening,NumMoves
player_27,White,opponent_1547,2141,2134,1-0,2025-10-01,00:27:21,Sicilian Defense: Open,47
player_15,White,opponent_0559,1938,1938,1-0,2025-10-01,00:27:32,Saragossa Opening,53
player_28,White,opponent_1872,1927,1923,1-0,2025-10-01,00:27:32,Owen Defense,53
player_18,White,opponent_2009,2078,2094,1-0,2025-10-01,00:27:35,Philidor Defense,87
player_39,Black,opponent_1453,2130,2077,0-1,2025-10-01,00:27:18,Modern Defense: Two Knights Variation,50
player_09,Black,opponent_1235,2201,2269,0-1,2025-10-01,00:27:28,Italian Game: Two Knights Defense,106
player_05,White,opponent_0875,2004,2070,1-0,2025-10-01,00:27:29,Modern Defense,25
player_37,White,opponent_1163,1962,1815,1-0,2025-10-01,00:28:20,Rapport-Jobava System,67
player_35,White,opponent_0695,2224,2190,0-1,2025-10-01,00:27:58,Slav Defense: Modern Line,68
player_30,White,opponent_0223,2225,2324,1-0,2025-10-01,00:28:01,Horwitz Defense,103
player_36,Black,opponent_1790,1869,1888,1-0,2025-10-01,00:27:39,Mieses Opening,73
player_40,White,opponent_0758,2267,2241,1-0,2025-10-01,00:27:39,Nimzo-Larsen Attack: Modern Variation,57
player_12,Black,opponent_0935,2031,1977,0-1,2025-10-01,00:27:53,Indian Defense: Knights Variation,80
player_29,Black,opponent_0575,2165,2217,1-0,2025-10-01,00:28:05,Hungarian Opening,111
player_14,White,opponent_1478,1951,1944,0-1,2025-10-01,00:27:45,"Nimzowitsch Defense: Scandinavian Variation, Exchange Variation",44
player_38,White,opponent_0865,2005,2000,0-1,2025-10-01,00:28:23,Mieses Opening,80
player_34,Black,opponent_0442,2185,2104,1-0,2025-10-01,00:28:23,Bird Opening: Dutch Variation,47
player_20,Black,opponent_1303,2308,2323,1-0,2025-10-01,00:28:24,Scotch Game: GÇôring Gambit,101
player_23,Black,opponent_1520,2264,2482,1-0,2025-10-01,00:28:25,Scandinavian Defense: Mieses-Kotroc Variation,87
player_22,White,opponent_0657,2235,2267,1-0,2025-10-01,00:28:25,Saragossa Opening,55
player_13,White,opponent_1983,2266,2349,0-1,2025-10-01,00:28:38,Queen's Pawn Game: Chigorin Variation,60
player_06,Black,opponent_1011,2051,2108,1-0,2025-10-01,00:28:38,Caro-Kann Defense,91
player_07,White,opponent_0943,2059,2113,0-1,2025-10-01,00:28:16,Horwitz Defense,56
player_05,White,opponent_0875,2006,2068,0-1,2025-10-01,00:28:18,"Sicilian Defense: Taimanov Variation, Normal Variation",90
player_19,White,opponent_1551,1900,1895,1-0,2025-10-01,00:28:29,Scandinavian Defense,29
player_10,Black,opponent_0847,1912,1917,1-0,2025-10-01,00:28:31,Rapport-Jobava System,23
player_31,White,opponent_1725,2034,2091,0-1,2025-10-01,00:28:31,Sicilian Defense: Closed,70
player_35,Black,opponent_0695,2218,2196,1-0,2025-10-01,00:28:33,Caro-Kann Defense,89
player_14,Black,opponent_0428,1946,1913,1/2-1/2,2025-10-01,00:29:26,Scandinavian Defense: Panov Transfer,55
player_27,Black,opponent_1768,2146,2112,0-1,2025-10-01,00:29:26,"English Opening: Anglo-Indian Defense, Hedgehog System",74
player_04,Black,opponent_0226,2164,2133,1-0,2025-10-01,00:29:12,"Rapport-Jobava System, with e6",85
player_22,Black,opponent_0657,2241,2261,0-1,2025-10-01,00:29:12,Queen's Pawn Game,64
player_05,Black,opponent_0875,2002,2072,0-1,2025-10-01,00:28:53,Van't Kruijs Opening,26
player_21,White,opponent_1125,1841,1818,1-0,2025-10-01,00:29:00,King's Indian Defense: Accelerated Averbakh Variation,59
player_39,White,opponent_1343,2135,2120,1-0,2025-10-01,00:29:15,Mieses Opening,37
player_35,White,opponent_0695,2212,2202,0-1,2025-10-01,00:29:16,Slav Defense: Modern Line,96
player_19,Black,opponent_1551,1905,1890,0-1,2025-10-01,00:29:37,Barnes Defense,46
player_02,White,opponent_0144,2071,2071,0-1,2025-10-01,00:28:48,Nimzo-Larsen Attack: Indian Variation,62
player_01,White,opponent_1086,2121,2035,0-1,2025-10-01,00:29:09,Queen's Gambit Declined: Chigorin Defense,60
player_10,Black,opponent_0876,1906,1921,0-1,2025-10-01,00:29:18,Hungarian Opening,46
player_05,White,opponent_0875,2009,2066,1-0,2025-10-01,00:29:04,Sicilian Defense: Closed,41
player_25,Black,opponent_0518,1873,1806,0-1,2025-10-01,00:30:04,Nimzo-Larsen Attack,78
player_36,Black,opponent_0646,1864,1858,0-1,2025-10-01,00:29:41,Pirc Defense,46
player_40,Black,opponent_0758,2273,2236,0-1,2025-10-01,00:29:49,Van't Kruijs Opening,58
player_05,Black,opponent_0875,2015,2059,1-0,2025-10-01,00:29:26,Van't Kruijs Opening,61
player_34,White,opponent_1670,2178,2188,1-0,2025-10-01,00:29:44,"Sicilian Defense: Smith-Morra Gambit Accepted, Chicago Defense",75
player_24,White,opponent_1867,2273,2290,1-0,2025-10-01,00:29:44,Indian Defense,131
player_28,White,opponent_0217,1933,1894,1-0,2025-10-01,00:29:44,King's Pawn Game: Busch-Gass Gambit,67
player_15,Black,opponent_1098,1943,1925,0-1,2025-10-01,00:29:22,Caro-Kann Defense,56
player_32,Black,opponent_1293,2372,2456,1-0,2025-10-01,00:29:22,Indian Defense: Normal Variation,87
player_16,Black,opponent_0435,2271,2134,0-1,2025-10-01,00:29:22,Sicilian Defense: French Variation,80
player_09,White,opponent_1235,2248,2263,0-1,2025-10-01,00:29:53,Vienna Game: Anderssen Defense,32
player_35,Black,opponent_0695,2206,2208,0-1,2025-10-01,00:29:56,Caro-Kann Defense,108
player_23,White,opponent_1520,2262,2485,0-1,2025-10-01,00:29:47,"Sicilian Defense: Closed, Traditional",78
player_08,Black,opponent_0982,1947,1830,0-1,2025-10-01,00:29:48,French Defense: Exchange Variation,74
player_22,White,opponent_0657,2247,2255,1-0,2025-10-01,00:30:15,Saragossa Opening,107
player_18,Black,opponent_1592,2084,2121,1-0,2025-10-01,00:30:16,Benoni Defense: Old Benoni,143
player_33,Black,opponent_0632,2152,2165,0-1,2025-10-01,00:29:58,Queen's Pawn Game,74
player_05,White,opponent_0875,2010,2064,1-0,2025-10-01,00:29:59,Sicilian Defense: Closed,43
player_05,Black,opponent_0875,2017,2058,0-1,2025-10-01,00:30:22,Van't Kruijs Opening,102
player_07,White,opponent_0593,2054,2089,0-1,2025-10-01,00:30:23,Indian Defense: Spielmann-Indian,14
player_30,Black,opponent_1912,2233,2237,1-0,2025-10-01,00:30:23,Scandinavian Defense: Modern Variation,105
player_13,White,opponent_0222,2262,2213,1-0,2025-10-01,00:30:20,Slav Defense: Modern Line,133
player_37,White,opponent_0199,1966,1967,1-0,2025-10-01,00:30:20,Dutch Defense: Raphael Variation,67
player_12,White,opponent_1957,2036,2027,1-0,2025-10-01,00:30:11,Sicilian Defense: Grand Prix Attack,67
player_01,Black,opponent_1086,2114,2043,1-0,2025-10-01,00:31:02,Benoni Defense: Old Benoni,63
player_07,White,opponent_0774,2049,2074,0-1,2025-10-01,00:30:45,Queen's Pawn Game: Torre Attack,96
player_35,White,opponent_0695,2212,2203,0-1,2025-10-01,00:30:38,Caro-Kann Defense: Advance Variation,68
player_31,Black,opponent_1996,2029,2013,1-0,2025-10-01,00:30:39,Van Geet Opening,53
player_06,White,opponent_1457,2046,2087,0-1,2025-10-01,00:30:39,Saragossa Opening,68
player_09,Black,opponent_1235,2215,2268,0-1,2025-10-01,00:30:41,Bishop's Opening,112
player_20,White,opponent_1303,2303,2328,1-0,2025-10-01,00:30:49,Queen's Pawn Game: Krause Variation,91
player_38,Black,opponent_1315,1999,1993,1-0,2025-10-01,00:30:54,Horwitz Defense,63
player_02,Black,opponent_0638,2065,2057,0-1,2025-10-01,00:30:54,Owen Defense,94
player_14,White,opponent_1819,1945,1916,1-0,2025-10-01,00:30:58,Owen Defense,47
player_05,White,opponent_0875,2023,2051,1-0,2025-10-01,00:31:00,Modern Defense,51
player_29,White,opponent_0391,2161,2144,1-0,2025-10-01,00:30:26,Vienna Game: Max Lange Defense,57
player_39,White,opponent_1328,2140,2136,1-0,2025-10-01,00:30:26,Nimzo-Larsen Attack,17
player_15,White,opponent_1098,1949,1919,0-1,2025-10-01,00:31:16,Saragossa Opening,90
player_04,Black,opponent_0024,2158,2154,0-1,2025-10-01,00:31:19,French Defense: Exchange Variation,124
player_21,Black,opponent_1519,1847,1847,0-1,2025-10-01,00:31:07,Alekhine Defense: Two Pawns Attack,86
player_39,Black,opponent_1843,2146,2208,1-0,2025-10-01,00:31:07,Rat Defense: Antal Defense,33
player_19,Black,opponent_1018,1911,1857,1-0,2025-10-01,00:31:24,Barnes Defense,49
player_23,Black,opponent_1520,2259,2487,1-0,2025-10-01,00:31:10,Scandinavian Defense: Mieses-Kotroc Variation,57
player_05,Black,opponent_0875,2030,2045,1-0,2025-10-01,00:31:31,Zukertort Opening: Tennison Gambit,75
player_28,Black,opponent_1350,1938,1922,0-1,2025-10-01,00:32:02,Hungarian Opening: Sicilian Invitation,68
player_03,Black,opponent_0640,1902,1907,0-1,2025-10-01,00:31:11,Rat Defense: Small Center Defense,106
player_35,Black,opponent_0695,2206,2208,0-1,2025-10-01,00:31:14,Caro-Kann Defense,90
player_39,Black,opponent_0678,2141,2120,1-0,2025-10-01,00:31:49,Rat Defense: Harmonist,71
player_16,Black,opponent_0998,2275,2205,0-1,2025-10-01,00:31:33,Benoni Defense: Old Benoni,68
player_27,Black,opponent_1690,2152,2189,0-1,2025-10-01,00:31:59,Petrov's Defense: Three Knights Game,36
player_36,White,opponent_0518,1869,1802,0-1,2025-10-01,00:31:59,Sicilian Defense: Katalimov Variation,70
player_17,White,opponent_1241,1916,1877,0-1,2025-10-01,00:31:59,French Defense: Exchange Variation,92
player_25,Black,opponent_0862,1877,1916,0-1,2025-10-01,00:31:59,French Defense: Exchange Variation,92
player_29,White,opponent_0917,2166,2253,0-1,2025-10-01,00:32:35,Scandinavian Defense,76
player_40,White,opponent_0758,2278,2231,0-1,2025-10-01,00:31:52,Nimzo-Larsen Attack: Modern Variation,72
player_35,White,opponent_0695,2212,2203,0-1,2025-10-01,00:31:54,Scandinavian Defense,54
player_34,Black,opponent_0323,2184,2179,1-0,2025-10-01,00:31:56,Queen's Gambit Declined: Austrian Defense,57
player_08,White,opponent_0864,1951,1943,1-0,2025-10-01,00:31:56,English Opening: Agincourt Defense,59
player_23,White,opponent_1520,2257,2490,1-0,2025-10-01,00:32:13,Sicilian Defense: Accelerated Dragon,59
player_12,White,opponent_1786,2042,2046,0-1,2025-10-01,00:32:14,Van Geet Opening,58
player_32,Black,opponent_1474,2367,2314,0-1,2025-10-01,00:31:43,"English Opening: Anglo-Indian Defense, Hedgehog System",100
player_37,Black,opponent_0522,1971,1984,1-0,2025-10-01,00:32:18,Zukertort Opening: Tennison Gambit,79
player_35,Black,opponent_0695,2206,2209,0-1,2025-10-01,00:32:21,Caro-Kann Defense: Exchange Variation,102
player_06,Black,opponent_0014,2041,2106,1-0,2025-10-01,00:32:42,Caro-Kann Defense,95
player_30,White,opponent_1611,2227,2228,0-1,2025-10-01,00:32:42,Englund Gambit,74
player_22,Black,opponent_0657,2253,2249,1-0,2025-10-01,00:31:44,Horwitz Defense,59
player_18,White,opponent_1262,2079,2011,1-0,2025-10-01,00:32:49,Sicilian Defense: Classical Variation,23
player_09,White,opponent_1235,2252,2262,1/2-1/2,2025-10-01,00:32:51,Vienna Game: Anderssen Defense,66
player_24,Black,opponent_0320,2279,2324,0-1,2025-10-01,00:32:27,Scandinavian Defense: Mieses-Kotroc Variation,32
player_38,White,opponent_1472,1993,2023,1-0,2025-10-01,00:33:08,French Defense: Exchange Variation,55
player_31,Black,opponent_1870,2023,1993,1-0,2025-10-01,00:33:08,French Defense: Exchange Variation,55
player_20,Black,opponent_1303,2309,2322,1-0,2025-10-01,00:33:09,Nimzowitsch Defense: Kennedy Variation,53
player_22,White,opponent_0657,2247,2255,0-1,2025-10-01,00:33:09,Benoni Defense: Old Benoni,74
player_07,Black,opponent_1434,2043,2048,0-1,2025-10-01,00:33:02,"Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation",86
player_35,White,opponent_0695,2212,2203,0-1,2025-10-01,00:33:04,Blackmar-Diemer Gambit,50
player_01,White,opponent_1086,2107,2049,0-1,2025-10-01,00:33:04,French Defense: Mediterranean Defense,42
player_21,White,opponent_1321,1852,1858,1-0,2025-10-01,00:33:19,Nimzo-Indian Defense: Leningrad Variation,47
player_15,Black,opponent_1098,1943,1926,0-1,2025-10-01,00:33:20,Caro-Kann Defense,58
player_14,Black,opponent_1147,1950,1965,0-1,2025-10-01,00:32:59,King's Indian Attack: Omega-Delta Gambit,56
player_13,Black,opponent_0745,2267,2281,1-0,2025-10-01,00:32:59,Caro-Kann Defense: Karpov Variation,83
player_04,White,opponent_1568,2163,2147,0-1,2025-10-01,00:33:23,Owen Defense,102
player_02,White,opponent_0904,2070,2083,1-0,2025-10-01,00:33:30,Nimzo-Larsen Attack: Indian Variation,85
player_18,Black,opponent_0032,2083,2070,1-0,2025-10-01,00:33:30,Nimzo-Larsen Attack: Indian Variation,85
player_19,White,opponent_0646,1904,1858,1-0,2025-10-01,00:33:54,King's Pawn Game: King's Head Opening,43
player_23,Black,opponent_1520,2266,2481,1-0,2025-10-01,00:33:32,Scandinavian Defense: Mieses-Kotroc Variation,49
player_27,White,opponent_1782,2158,2055,0-1,2025-10-01,00:33:41,Sicilian Defense: Old Sicilian,82
player_16,Black,opponent_1091,2280,2228,0-1,2025-10-01,00:33:41,Hungarian Opening: Sicilian Invitation,67
player_24,Black,opponent_1130,2285,2350,1-0,2025-10-01,00:33:41,Queen's Gambit Declined: Marshall Defense,129
player_35,Black,opponent_0695,2206,2209,1-0,2025-10-01,00:33:28,Caro-Kann Defense,77
player_03,Black,opponent_0589,1908,1918,1-0,2025-10-01,00:33:45,Old Indian Defense,101
player_10,White,opponent_1888,1912,2366,0-1,2025-10-01,00:34:12,Queen's Gambit Declined: Queen's Knight Variation,54
player_28,White,opponent_0897,1944,2037,1-0,2025-10-01,00:33:59,Zukertort Opening: Tennison Gambit,55
player_08,White,opponent_0645,1956,1953,0-1,2025-10-01,00:34:02,English Opening: King's English Variation,66
player_32,White,opponent_0348,2372,2349,1-0,2025-10-01,00:33:57,Queen's Pawn Game,103
player_34,Black,opponent_1571,2178,2160,0-1,2025-10-01,00:34:02,Zukertort Opening: Ross Gambit,58
player_33,White,opponent_0093,2158,2216,0-1,2025-10-01,00:34:05,Saragossa Opening,48
player_36,Black,opponent_1313,1862,1872,1-0,2025-10-01,00:34:20,Pirc Defense,65
player_01,Black,opponent_1086,2101,2056,0-1,2025-10-01,00:34:15,Benoni Defense: Old Benoni,88
player_12,Black,opponent_1339,2036,1984,0-1,2025-10-01,00:34:23,Van't Kruijs Opening,64
player_25,White,opponent_0867,1884,1793,0-1,2025-10-01,00:34:23,Bishop's Opening,48
player_09,Black,opponent_1235,2253,2261,0-1,2025-10-01,00:34:24,Bishop's Opening,56
player_40,Black,opponent_0758,2271,2238,1/2-1/2,2025-10-01,00:34:25,French Defense: Queen's Knight,73
player_30,White,opponent_0871,2221,2253,0-1,2025-10-01,00:34:47,"Indian Defense: Colle System, King's Indian Variation",59
player_29,Black,opponent_0775,2162,2168,1-0,2025-10-01,00:34:50,"Scandinavian Defense: Main Line, Mieses Variation",63
player_39,White,opponent_1906,2135,2131,1-0,2025-10-01,00:34:05,"Italian Game: Scotch Gambit, Anderssen Attack",57
player_37,White,opponent_0522,1966,1990,0-1,2025-10-01,00:34:27,Benoni Defense: Old Benoni,56
player_05,White,opponent_0799,2024,1974,1-0,2025-10-01,00:34:28,Sicilian Defense: Closed,61
player_22,Black,opponent_0657,2242,2261,1-0,2025-10-01,00:34:28,Queen's Pawn Game,85
player_20,White,opponent_1303,2303,2328,0-1,2025-10-01,00:34:31,Queen's Pawn Game: Krause Variation,110
player_06,White,opponent_1786,2036,2052,0-1,2025-10-01,00:34:31,Saragossa Opening,78
player_17,White,opponent_1260,1910,1961,1-0,2025-10-01,00:34:31,Caro-Kann Defense,91
player_23,White,opponent_1520,2263,2483,1-0,2025-10-01,00:34:31,"Sicilian Defense: Accelerated Dragon, Modern Variation",69
player_05,Black,opponent_0799,2029,1949,1-0,2025-10-01,00:35:04,Caro-Kann Defense: Main Line,61
player_15,White,opponent_0727,1948,1956,0-1,2025-10-01,00:35:05,Saragossa Opening,64
player_14,Black,opponent_0835,1956,1948,0-1,2025-10-01,00:35:05,Saragossa Opening,64
player_35,White,opponent_1947,2200,1434,1-0,2025-10-01,00:34:43,French Defense: Normal Variation,39
player_31,White,opponent_0436,2017,2000,1-0,2025-10-01,00:35:14,Modern Defense,83
player_33,Black,opponent_0093,2153,2220,1-0,2025-10-01,00:35:32,Queen's Pawn Game,77
player_09,White,opponent_1235,2281,2256,1-0,2025-10-01,00:35:50,King's Pawn Game: Busch-Gass Gambit,109
player_23,Black,opponent_1520,2272,2475,1-0,2025-10-01,00:35:51,Scandinavian Defense: Mieses-Kotroc Variation,45
player_27,White,opponent_0425,2151,2159,1-0,2025-10-01,00:35:51,Van Geet Opening,37
player_16,White,opponent_1091,2284,2223,1-0,2025-10-01,00:35:20,Caro-Kann Defense,77
player_07,Black,opponent_0644,2049,2040,1-0,2025-10-01,00:35:20,English Opening: Caro-Kann Defensive System,101
player_13,Black,opponent_0360,2261,2315,1-0,2025-10-01,00:35:10,Queen's Pawn Game: Stonewall Attack,49
player_04,White,opponent_1328,2157,2130,1-0,2025-10-01,00:35:34,"Sicilian Defense: Delayed Alapin Variation, with e6",49
player_21,Black,opponent_1810,1858,1959,0-1,2025-10-01,00:35:34,Alekhine Defense: Exchange Variation,44
player_38,White,opponent_1453,1999,2071,0-1,2025-10-01,00:35:17,Mieses Opening,82
player_35,Black,opponent_0599,2201,1676,0-1,2025-10-01,00:35:45,Queen's Pawn Game,44
player_22,White,opponent_0657,2236,2266,0-1,2025-10-01,00:35:47,Saragossa Opening,86
player_03,White,opponent_0666,1902,1908,0-1,2025-10-01,00:36:00,Owen Defense,30
player_18,White,opponent_0988,2077,2038,1-0,2025-10-01,00:35:57,Sicilian Defense: Lasker-Pelikan Variation,19
player_24,White,opponent_0149,2281,2300,0-1,2025-10-01,00:35:57,Slav Defense: Schlechter Variation,104
player_32,White,opponent_1473,2378,2369,1-0,2025-10-01,00:35:57,Benoni Defense: Old Benoni,113
player_10,Black,opponent_0928,1911,2064,1-0,2025-10-01,00:36:14,"Queen's Gambit Declined: Chigorin Defense, Tartakower Gambit",39
player_35,White,opponent_0546,2201,1927,1-0,2025-10-01,00:36:15,Benoni Defense: Old Benoni,47
player_06,White,opponent_0528,2031,2009,1-0,2025-10-01,00:36:17,Saragossa Opening,49
player_37,Black,opponent_1731,1961,1988,0-1,2025-10-01,00:36:17,Scandinavian Defense,90
player_34,White,opponent_1939,2184,2141,0-1,2025-10-01,00:36:22,Rat Defense: Antal Defense,62
player_39,Black,opponent_1605,2141,2184,0-1,2025-10-01,00:36:22,Rat Defense: Antal Defense,62
player_02,White,opponent_0638,2076,2057,1-0,2025-10-01,00:35:54,Nimzo-Larsen Attack: Modern Variation,117
player_12,White,opponent_1042,2041,1975,1-0,2025-10-01,00:36:45,Queen's Pawn Game: Chigorin Variation,35
player_28,Black,opponent_0897,1951,2029,1-0,2025-10-01,00:36:03,Sicilian Defense: Franco-Sicilian Variation,39
player_08,Black,opponent_0153,1951,1952,1-0,2025-10-01,00:36:03,"French Defense: Exchange Variation, Monte Carlo Variation",73
player_25,Black,opponent_1087,1877,1828,0-1,2025-10-01,00:36:03,French Defense: King's Indian Attack,58
player_23,White,opponent_1520,2270,2477,0-1,2025-10-01,00:36:46,Sicilian Defense: Accelerated Dragon,96
player_05,Black,opponent_1893,2022,1441,0-1,2025-10-01,00:36:46,Queen's Gambit Declined: Marshall Defense,46
player_17,Black,opponent_1339,1916,1979,1-0,2025-10-01,00:36:48,Zukertort Opening: Tennison Gambit,69
player_19,Black,opponent_0646,1909,1853,1-0,2025-10-01,00:36:02,Barnes Defense,73
player_20,Black,opponent_1303,2298,2333,1-0,2025-10-01,00:36:49,"Nimzowitsch Defense: Kennedy Variation, Paulsen Attack",71
player_30,Black,opponent_1599,2216,2227,1-0,2025-10-01,00:36:29,French Defense: Advance Variation,37
player_01,White,opponent_1086,2106,2051,0-1,2025-10-01,00:36:32,Queen's Gambit Declined: Austrian Defense,114
player_18,Black,opponent_0541,2082,2092,1-0,2025-10-01,00:36:33,Nimzo-Larsen Attack: Indian Variation,29
player_36,White,opponent_1450,1857,1836,1-0,2025-10-01,00:36:27,"Scandinavian Defense: Main Line, Leonhardt Gambit",21
player_03,White,opponent_0086,1897,1876,1-0,2025-10-01,00:36:41,King's Gambit Declined: Queen's Knight Defense,123
player_22,Black,opponent_0657,2231,2271,1-0,2025-10-01,00:37:09,Horwitz Defense,63
player_21,Black,opponent_1679,1866,1855,0-1,2025-10-01,00:37:10,Queen's Pawn Game: London System,42
player_40,White,opponent_0758,2271,2238,0-1,2025-10-01,00:36:53,Nimzo-Larsen Attack: Modern Variation,66
player_38,Black,opponent_0436,1995,1995,0-1,2025-10-01,00:37:35,Nimzo-Larsen Attack,74
player_27,Black,opponent_0361,2156,2123,1-0,2025-10-01,00:37:21,"English Opening: Symmetrical Variation, Fianchetto Variation",117
player_07,White,opponent_1528,2043,2004,0-1,2025-10-01,00:37:21,Queen's Pawn Game: London System,62
player_28,White,opponent_0030,1946,1901,0-1,2025-10-01,00:37:18,Zukertort Opening: Lemberger Gambit,18
player_18,Black,opponent_0906,2077,2038,0-1,2025-10-01,00:37:48,Sicilian Defense: Alapin Variation,46
player_31,Black,opponent_0426,2022,2035,1-0,2025-10-01,00:37:52,Modern Defense,73
player_29,White,opponent_0814,2156,2213,0-1,2025-10-01,00:36:56,Vienna Game: Max Lange Defense,84
player_30,Black,opponent_1091,2211,2219,1-0,2025-10-01,00:37:29,"English Opening: Anglo-Scandinavian Defense, Schulz Gambit",63
player_04,Black,opponent_1744,2163,2120,0-1,2025-10-01,00:37:29,French Defense: Two Knights Variation,64
player_12,Black,opponent_1064,2046,2052,0-1,2025-10-01,00:37:31,Van't Kruijs Opening,84
player_10,Black,opponent_0433,1908,1063,0-1,2025-10-01,00:37:33,Sicilian Defense: Bowdler Attack,30
player_16,White,opponent_1481,2289,2310,1/2-1/2,2025-10-01,00:37:44,Scandinavian Defense,79
player_13,White,opponent_1867,2257,2295,1-0,2025-10-01,00:37:06,Indian Defense: Knights Variation,79
player_36,White,opponent_0456,1862,1868,1-0,2025-10-01,00:37:06,Owen Defense,51
player_35,Black,opponent_0806,2203,1817,0-1,2025-10-01,00:37:48,Queen's Pawn Game,132
player_28,White,opponent_0881,1940,1945,1-0,2025-10-01,00:37:48,Zukertort Opening: Tennison Gambit,67
player_25,Black,opponent_1840,1881,1846,0-1,2025-10-01,00:37:48,French Defense: La Bourdonnais Variation,36
player_14,White,opponent_0835,1962,1943,1-0,2025-10-01,00:37:17,Caro-Kann Defense,61
player_15,Black,opponent_0727,1943,1962,1-0,2025-10-01,00:37:17,Caro-Kann Defense,61
player_39,White,opponent_0003,2148,2068,1-0,2025-10-01,00:38:03,Mieses Opening,51
player_34,White,opponent_1536,2178,2107,1-0,2025-10-01,00:37:59,Center Game,53
player_10,White,opponent_0793,1908,1785,1-0,2025-10-01,00:38:48,Queen's Gambit Declined: Marshall Defense,35
player_20,White,opponent_1303,2293,2338,1-0,2025-10-01,00:38:51,Tarrasch Defense: Two Knights Variation,47
player_33,Black,opponent_1562,2149,2153,0-1,2025-10-01,00:38:09,Queen's Pawn Game,64
player_32,White,opponent_1704,2383,2473,0-1,2025-10-01,00:38:18,Queen's Pawn Game,118
player_06,White,opponent_0021,2036,2027,1-0,2025-10-01,00:38:18,Saragossa Opening,107
player_22,White,opponent_0657,2226,2276,1-0,2025-10-01,00:38:19,Saragossa Opening,71
player_09,Black,opponent_1235,2305,2251,1-0,2025-10-01,00:38:23,Bishop's Opening,71
player_21,White,opponent_1310,1871,1824,0-1,2025-10-01,00:38:32,Slav Defense: Chebanenko Variation,48
player_05,White,opponent_0546,2023,1927,1-0,2025-10-01,00:38:34,Barnes Opening: Gedult Gambit,65
player_19,White,opponent_0646,1903,1859,0-1,2025-10-01,00:38:12,King's Pawn Game: King's Head Opening,40
player_08,Black,opponent_1338,1945,2024,1-0,2025-10-01,00:38:12,Horwitz Defense,77
player_23,Black,opponent_1520,2267,2480,1-0,2025-10-01,00:38:13,Scandinavian Defense: Mieses-Kotroc Variation,113
player_24,Black,opponent_0882,2275,2349,1-0,2025-10-01,00:38:06,Scandinavian Defense: Main Line,93
player_01,Black,opponent_1086,2099,2058,1-0,2025-10-01,00:38:46,Sicilian Defense: Bowdler Attack,49
player_18,White,opponent_1787,2082,2093,0-1,2025-10-01,00:38:57,"French Defense: Advance Variation, Nimzowitsch System",58
player_03,Black,opponent_1877,1902,1845,0-1,2025-10-01,00:39:03,Pirc Defense,48
player_02,Black,opponent_0280,2082,2098,1-0,2025-10-01,00:38:35,Owen Defense,83
player_37,White,opponent_1731,1967,1982,0-1,2025-10-01,00:38:35,Rapport-Jobava System,96
player_13,Black,opponent_1112,2263,2256,0-1,2025-10-01,00:39:32,Caro-Kann Defense: Panov Attack,80
player_04,White,opponent_1376,2168,2157,0-1,2025-10-01,00:39:32,Ponziani Opening,58
player_35,Black,opponent_0543,2204,1630,0-1,2025-10-01,00:39:05,Caro-Kann Defense: Hillbilly Attack,24
player_15,White,opponent_0727,1937,1967,0-1,2025-10-01,00:39:14,Saragossa Opening,46
player_14,Black,opponent_0835,1967,1937,0-1,2025-10-01,00:39:14,Saragossa Opening,46
player_40,Black,opponent_0758,2265,2244,1-0,2025-10-01,00:39:16,French Defense: Queen's Knight,79
player_17,White,opponent_0313,1912,1927,1-0,2025-10-01,00:39:19,Sicilian Defense: Smith-Morra Gambit,41
player_30,Black,opponent_0310,2205,2214,0-1,2025-10-01,00:39:29,Philidor Defense: Nimzowitsch Variation,86
player_29,Black,opponent_0082,2151,2086,0-1,2025-10-01,00:39:19,Nimzo-Larsen Attack: Classical Variation,80
player_12,Black,opponent_0636,2052,1966,1-0,2025-10-01,00:39:43,Van't Kruijs Opening,75
player_23,White,opponent_1520,2264,2483,1-0,2025-10-01,00:39:44,"Sicilian Defense: Accelerated Dragon, Modern Variation",73
player_38,White,opponent_1635,2001,2006,0-1,2025-10-01,00:39:47,Mieses Opening,88
player_36,Black,opponent_1573,1868,1872,1-0,2025-10-01,00:39:38,Pirc Defense,63
player_27,Black,opponent_0471,2150,2201,1-0,2025-10-01,00:39:38,Indian Defense,67
player_22,Black,opponent_0657,2233,2270,1-0,2025-10-01,00:39:39,Queen's Pawn Game,71
player_16,Black,opponent_0827,2290,2283,1-0,2025-10-01,00:39:51,Sicilian Defense,77
player_34,Black,opponent_0541,2182,2093,1-0,2025-10-01,00:39:51,Nimzo-Larsen Attack: Classical Variation,99
player_07,Black,opponent_0019,2037,2013,0-1,2025-10-01,00:39:41,"Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation",64
player_24,White,opponent_1130,2265,2357,0-1,2025-10-01,00:40:33,Slav Defense: Exchange Variation,48
player_10,White,opponent_1419,1912,1860,1-0,2025-10-01,00:40:05,Queen's Gambit Declined: Queen's Knight Variation,77
player_21,Black,opponent_1120,1865,1948,1-0,2025-10-01,00:40:06,Indian Defense,67
player_35,White,opponent_0265,2205,1813,1-0,2025-10-01,00:40:07,Queen's Pawn Game: Chigorin Variation,57
player_01,White,opponent_1086,2093,2064,0-1,2025-10-01,00:40:09,Center Game,46
